time_s,line_x_raw,line_x_clean,line_x_interp,line_x,point_0_x,point_0_y,point_0_x_smooth,point_0_y_smooth,point_0_start_frame,point_0_rel_x_px,point_0_rel_x_interp_px,point_0_rel_x_smooth_px,point_0_v_x_px_s,point_0_a_x_px_s2,point_1_x,point_1_y,point_1_x_smooth,point_1_y_smooth,point_1_start_frame,point_1_rel_x_px,point_1_rel_x_interp_px,point_1_rel_x_smooth_px,point_1_v_x_px_s,point_1_a_x_px_s2,point_2_x,point_2_y,point_2_x_smooth,point_2_y_smooth,point_2_start_frame,point_2_rel_x_px,point_2_rel_x_interp_px,point_2_rel_x_smooth_px,point_2_v_x_px_s,point_2_a_x_px_s2,point_3_x,point_3_y,point_3_x_smooth,point_3_y_smooth,point_3_start_frame,point_3_rel_x_px,point_3_rel_x_interp_px,point_3_rel_x_smooth_px,point_3_v_x_px_s,point_3_a_x_px_s2
0.0,2408.4635212979288,2408.4635212979288,2408.4635212979288,2404.635268421906,,,,,36,,,,,,,,,,74,,,,,,,,,,372,,,,,,,,,,646,,,,,
0.041666666666666664,2406.2550351853793,2406.2550351853793,2406.2550351853793,2404.112327169753,,,,,36,,,,,,,,,,74,,,,,,,,,,372,,,,,,,,,,646,,,,,
0.08333333333333333,2405.0977694232165,2405.0977694232165,2405.0977694232165,2403.5805804357565,,,,,36,,,,,,,,,,74,,,,,,,,,,372,,,,,,,,,,646,,,,,
0.125,2402.7688439417298,2402.7688439417298,2402.7688439417298,2403.0330149511456,,,,,36,,,,,,,,,,74,,,,,,,,,,372,,,,,,,,,,646,,,,,
0.16666666666666666,2402.1919535489583,2402.1919535489583,2402.1919535489583,2402.4687768536637,,,,,36,,,,,,,,,,74,,,,,,,,,,372,,,,,,,,,,646,,,,,
0.20833333333333334,2400.8829659286293,2400.8829659286293,2400.8829659286293,2401.8891974534563,,,,,36,,,,,,,,,,74,,,,,,,,,,372,,,,,,,,,,646,,,,,
0.25,2399.9739514893427,2399.9739514893427,2399.9739514893427,2401.290159547615,,,,,36,,,,,,,,,,74,,,,,,,,,,372,,,,,,,,,,646,,,,,
0.2916666666666667,2399.3841750571,2399.3841750571,2399.3841750571,2400.669644377086,,,,,36,,,,,,,,,,74,,,,,,,,,,372,,,,,,,,,,646,,,,,
0.3333333333333333,2398.802344991099,2398.802344991099,2398.802344991099,2400.0372065958895,,,,,36,,,,,,,,,,74,,,,,,,,,,372,,,,,,,,,,646,,,,,
0.375,2399.450163995895,2399.450163995895,2399.450163995895,2399.4030280481857,,,,,36,,,,,,,,,,74,,,,,,,,,,372,,,,,,,,,,646,,,,,
0.4166666666666667,2397.2905934400837,2397.2905934400837,2397.2905934400837,2398.765696823451,,,,,36,,,,,,,,,,74,,,,,,,,,,372,,,,,,,,,,646,,,,,
0.4583333333333333,2397.037545621281,2397.037545621281,2397.037545621281,2398.120725463698,,,,,36,,,,,,,,,,74,,,,,,,,,,372,,,,,,,,,,646,,,,,
0.5,2396.7205910518655,2396.7205910518655,2396.7205910518655,2397.475199590598,,,,,36,,,,,,,,,,74,,,,,,,,,,372,,,,,,,,,,646,,,,,
0.5416666666666666,2395.471750090698,2395.471750090698,2395.471750090698,2396.8479119000367,,,,,36,,,,,,,,,,74,,,,,,,,,,372,,,,,,,,,,646,,,,,
0.5833333333333334,2395.514173495105,2395.514173495105,2395.514173495105,2396.2575731134557,,,,,36,,,,,,,,,,74,,,,,,,,,,372,,,,,,,,,,646,,,,,
0.625,2394.7998194052775,2394.7998194052775,2394.7998194052775,2395.714965883059,,,,,36,,,,,,,,,,74,,,,,,,,,,372,,,,,,,,,,646,,,,,
0.6666666666666666,2394.0517272135507,2394.0517272135507,2394.0517272135507,2395.221600298997,,,,,36,,,,,,,,,,74,,,,,,,,,,372,,,,,,,,,,646,,,,,
0.7083333333333334,2393.8585390106705,2393.8585390106705,2393.8585390106705,2394.768492409622,,,,,36,,,,,,,,,,74,,,,,,,,,,372,,,,,,,,,,646,,,,,
0.75,2394.6222042566324,2394.6222042566324,2394.6222042566324,2394.340640559744,,,,,36,,,,,,,,,,74,,,,,,,,,,372,,,,,,,,,,646,,,,,
0.7916666666666666,2391.684469984643,2391.684469984643,2391.684469984643,2393.9269982767546,,,,,36,,,,,,,,,,74,,,,,,,,,,372,,,,,,,,,,646,,,,,
0.8333333333333334,2392.6386606349906,2392.6386606349906,2392.6386606349906,2393.523651420428,,,,,36,,,,,,,,,,74,,,,,,,,,,372,,,,,,,,,,646,,,,,
0.875,2392.6733471624016,2392.6733471624016,2392.6733471624016,2393.132742203504,,,,,36,,,,,,,,,,74,,,,,,,,,,372,,,,,,,,,,646,,,,,
0.9166666666666666,2392.995672901369,2392.995672901369,2392.995672901369,2392.76126329922,,,,,36,,,,,,,,,,74,,,,,,,,,,372,,,,,,,,,,646,,,,,
0.9583333333333334,2392.05864128844,2392.05864128844,2392.05864128844,2392.4120698952947,,,,,36,,,,,,,,,,74,,,,,,,,,,372,,,,,,,,,,646,,,,,
1.0,2391.9168685532227,2391.9168685532227,2391.9168685532227,2392.077846877003,,,,,36,,,,,,,,,,74,,,,,,,,,,372,,,,,,,,,,646,,,,,
1.0416666666666667,2392.0244735877104,2392.0244735877104,2392.0244735877104,2391.750284104518,,,,,36,,,,,,,,,,74,,,,,,,,,,372,,,,,,,,,,646,,,,,
1.0833333333333333,2391.816168626512,2391.816168626512,2391.816168626512,2391.4273985021628,,,,,36,,,,,,,,,,74,,,,,,,,,,372,,,,,,,,,,646,,,,,
